"","x"
"1","ADAMS"
"2","ASHLAND"
"3","BARRON"
"4","BAYFIELD"
"5","BROWN"
"6","BUFFALO"
"7","BURNETT"
"8","CALUMET"
"9","CHIPPEWA"
"10","CLARK"
"11","COLUMBIA"
"12","CRAWFORD"
"13","DANE"
"14","DODGE"
"15","DOOR"
"16","DOUGLAS"
"17","DUNN"
"18","EAU CLAIRE"
"19","FLORENCE"
"20","FOND DU LAC"
"21","FOREST"
"22","GRANT"
"23","GREEN"
"24","GREEN LAKE"
"25","IOWA"
"26","IRON"
"27","JACKSON"
"28","JEFFERSON"
"29","JUNEAU"
"30","KENOSHA"
"31","KEWAUNEE"
"32","LA CROSSE"
"33","LAFAYETTE"
"34","LANGLADE"
"35","LINCOLN"
"36","MANITOWOC"
"37","MARATHON"
"38","MARINETTE"
"39","MARQUETTE"
"40","MENOMINEE"
"41","MILWAUKEE"
"42","MONROE"
"43","OCONTO"
"44","ONEIDA"
"45","OUTAGAMIE"
"46","OZAUKEE"
"47","PEPIN"
"48","PIERCE"
"49","POLK"
"50","PORTAGE"
"51","PRICE"
"52","RACINE"
"53","RICHLAND"
"54","ROCK"
"55","RUSK"
"56","SAINT CROIX"
"57","SAUK"
"58","SAWYER"
"59","SHAWANO"
"60","SHEBOYGAN"
"61","TAYLOR"
"62","TREMPEALEAU"
"63","VERNON"
"64","VILAS"
"65","WALWORTH"
"66","WASHBURN"
"67","WASHINGTON"
"68","WAUKESHA"
"69","WAUPACA"
"70","WAUSHARA"
"71","WINNEBAGO"
"72","WOOD"
